id,name,description,category,subcategory,brand,model,condition,experienceLevel,weeklyPrice,monthlyPrice,discount,discountType,tax,taxType,primaryImage,additionalImages,unitOfMeasurement,stockQuantity,features,included,tags,dimensions,securityDeposit,insurance,minimumRentalDays,maximumRentalDays,deliveryOptions,restrictions,available
sony-a7-iii,"Sony A7 III","Professional full-frame mirrorless camera with excellent low-light performance and 4K video recording capabilities",Photography,"Digital Cameras",Sony,A7 III,like-new,pro,2800,8400,0,percentage,18,percentage,https://images.unsplash.com/photo-1606983340126-99ab4feaa64a,"https://images.unsplash.com/photo-1502920917128-1aa500764cbd,https://images.unsplash.com/photo-1516035069371-29a1b244cc32",piece,2,"24MP full-frame sensor|4K video recording|5-axis stabilization|Dual card slots","Camera body|Battery|Charger|Camera strap|Lens cap","sony|mirrorless|full-frame|4k|photography|professional","24x12x7cm, 650g",5000,500,1,14,"pickup|delivery","ID proof required|Basic photography knowledge recommended",true
canon-eos-r7,"Canon EOS R7","Advanced APS-C mirrorless camera perfect for wildlife and sports photography with incredible autofocus system",Photography,"Digital Cameras",Canon,EOS R7,new,aspiring,2200,6600,10,percentage,18,percentage,https://images.unsplash.com/photo-1502920917128-1aa500764cbd,"https://images.unsplash.com/photo-1516035069371-29a1b244cc32,https://images.unsplash.com/photo-1606983340126-99ab4feaa64a",piece,1,"32.5MP APS-C sensor|4K 60p video|Animal detection AF|Weather sealed","Camera body|Battery|Charger|Manual|USB cable","canon|mirrorless|wildlife|sports|cropped-sensor","25x11x9cm, 612g",4000,400,1,21,"pickup|delivery|express","Age 18+ required|Photography experience helpful",true
rode-podmic,"Rode PodMic","Dynamic broadcast microphone designed specifically for podcasting with internal shock mounting",Music,"Microphones",Rode,PodMic,like-new,explorer,800,2400,0,percentage,18,percentage,https://images.unsplash.com/photo-1590736969955-71cc94901144,"https://images.unsplash.com/photo-1598488035139-bdbb2231ce04",piece,3,"XLR output|Internal shock mounting|Swing mount included|Rich broadcast sound","Microphone|XLR cable|Swing mount|Manual","rode|microphone|podcast|broadcast|xlr|dynamic","16x20x8cm, 937g",1000,100,2,30,"pickup|delivery","Audio interface required|Basic recording knowledge",true
dji-mini-3,"DJI Mini 3","Ultra-lightweight drone with 4K camera perfect for travel and content creation",Tech,Drones,DJI,"Mini 3",new,explorer,1800,5400,15,percentage,18,percentage,https://images.unsplash.com/photo-1473968512647-3e447244af8f,"https://images.unsplash.com/photo-1578662996442-48f60103fc96,https://images.unsplash.com/photo-1544966503-7cc5ac882d5d",piece,2,"4K HDR video|38-min flight time|Ultra-lightweight|Vertical shooting","Drone|Controller|3 batteries|Charging hub|Propellers|Carrying case","dji|drone|4k|travel|lightweight|aerial","24x15x6cm, 249g",3000,300,1,7,"pickup|delivery","Drone license required|Open area needed|Weather dependent",true
rode-wireless-go,"Rode Wireless GO II","Compact wireless microphone system perfect for interviews and content creation",Music,"Audio Equipment",Rode,"Wireless GO II",like-new,aspiring,1200,3600,0,percentage,18,percentage,https://images.unsplash.com/photo-1598488035139-bdbb2231ce04,"https://images.unsplash.com/photo-1590736969955-71cc94901144",set,2,"Dual-channel recording|Universal compatibility|7-hour battery|Onboard recording","2 transmitters|1 receiver|USB-C cables|Windshields|Manual","rode|wireless|microphone|interview|content|dual-channel","4x4x2cm each, 31g",800,80,1,14,"pickup|delivery","Compatible device required|Basic audio knowledge",true
osprey-atmos-65,"Osprey Atmos 65","Premium hiking backpack with Anti-Gravity suspension system for multi-day adventures",Adventure,Backpacks,Osprey,"Atmos 65",good,explorer,600,1800,0,percentage,18,percentage,https://images.unsplash.com/photo-1551698618-1dfe5d97d256,"https://images.unsplash.com/photo-1622260614153-03223fb72052",piece,2,"65L capacity|Anti-Gravity suspension|Integrated raincover|Multiple pockets","Backpack|Rain cover|Repair kit|Manual","osprey|backpack|hiking|trekking|65l|multi-day","80x35x30cm, 2.1kg",1500,150,3,21,"pickup|delivery","Proper fit required|Hiking experience recommended",true
canon-rf-24-70,"Canon RF 24-70mm f/2.8L","Professional zoom lens with constant f/2.8 aperture for Canon RF mount cameras",Photography,Lenses,Canon,"RF 24-70mm f/2.8L IS USM",like-new,pro,1500,4500,0,percentage,18,percentage,https://images.unsplash.com/photo-1606983340077-41943a2c3d20,"https://images.unsplash.com/photo-1502920917128-1aa500764cbd",piece,1,"Constant f/2.8 aperture|Image stabilization|Weather sealed|Professional quality","Lens|Front cap|Rear cap|Lens hood|Carrying case","canon|lens|rf|24-70|professional|zoom","11x9cm, 900g",3000,300,1,14,"pickup|delivery","Compatible RF camera required|Handling experience recommended",true
macbook-pro-m3,"MacBook Pro 14-inch M3","Latest MacBook Pro with M3 chip perfect for video editing and creative work",Tech,Laptops,Apple,"MacBook Pro 14-inch M3",new,pro,3500,10500,5,percentage,18,percentage,https://images.unsplash.com/photo-1541807084-5c52b6b3adef,"https://images.unsplash.com/photo-1606296173962-7bc1b0c2b0b3",piece,1,"M3 Pro chip|16GB RAM|512GB SSD|14-inch Liquid Retina display|ProRes video editing","MacBook|Charger|USB-C cable|Documentation","apple|macbook|m3|laptop|video-editing|professional","31x22x2cm, 1.6kg",8000,800,3,14,"pickup|delivery|express","Valid ID required|Software familiarity helpful",true
godox-ad400pro,"Godox AD400Pro","Portable studio flash with TTL and high-speed sync for professional photography",Photography,"Lighting Equipment",Godox,"AD400Pro",like-new,aspiring,1800,5400,0,percentage,18,percentage,https://images.unsplash.com/photo-1582555172866-f73bb12a2ab3,"https://images.unsplash.com/photo-1548094990-c16ca90f1f0d",piece,2,"400Ws flash power|TTL and HSS|Portable design|Fast recycle time","Flash head|Battery|Charger|Reflector|Light stand|Carrying bag","godox|flash|studio|lighting|ttl|portable","24x11x11cm, 1.8kg",2000,200,1,10,"pickup|delivery","Photography lighting knowledge required|Compatible camera needed",true
zoom-h6,"Zoom H6 Handy Recorder","Professional 6-track portable recorder perfect for podcasts and field recording",Music,"Audio Equipment",Zoom,"H6 Handy Recorder",good,aspiring,1200,3600,0,percentage,18,percentage,https://images.unsplash.com/photo-1590736969955-71cc94901144,"https://images.unsplash.com/photo-1598488035139-bdbb2231ce04",piece,1,"6-track recording|XLR/TRS inputs|SD card storage|Built-in mics","Recorder|2 XLR mics|SD card|USB cable|Windscreen|Carrying case","zoom|recorder|podcast|field-recording|xlr|portable","8x15x5cm, 280g",1000,100,2,21,"pickup|delivery","Basic audio knowledge helpful|SD card included",true
